cluster_id,size,unique_movie_count,movie_count_list,transitivity,avg_polarization,avg_leadership_insularity
183,6,6,6.0,1.0,,0.9591654745021815
184,3,3,3.0,1.0,,0.9593837611443468
185,1,2,2.0,0.0,,0.9603546496174682
186,1,1,1.0,0.0,,0.9601651079471113
187,1,2,2.0,0.0,,0.958894035273469
188,3,6,6.0,1.0,,0.9585791974979491
189,1,1,1.0,0.0,,0.9599373023087073
190,1,1,1.0,0.0,,0.9594853303457451
191,1,2,2.0,0.0,,0.9585286212565998
192,1,1,1.0,0.0,,0.9593123939037768
193,1,6,6.0,0.0,,0.9591260533617935
194,1,1,1.0,0.0,,0.9599201752349452
195,2,1,2.0,0.0,,0.9595763842251372
196,1,1,1.0,0.0,,0.9601651079471113
197,1,1,1.0,0.0,,0.9593850497937556
198,2,2,2.0,0.0,,0.9569534033615189
199,1,1,1.0,0.0,,0.959293150939222
200,1,1,1.0,0.0,,0.9582315601407974
201,1,3,3.0,0.0,,0.9603101982894585
202,1,1,1.0,0.0,,0.9601905300845722
203,1,1,1.0,0.0,,0.9590904443244196
204,1,1,1.0,0.0,,0.9604518213095767
205,1,2,2.0,0.0,,0.9586709232814641
206,1,1,1.0,0.0,,0.9585801303273429
207,1,1,1.0,0.0,,0.9596002526958753
208,1,3,3.0,0.0,,0.9571678486361518
209,1,1,1.0,0.0,,0.9583298605981243
210,1,1,1.0,0.0,,0.9600363581251269
211,1,1,1.0,0.0,,0.959128761771107
212,1,1,1.0,0.0,,0.9598537579429555
213,1,2,2.0,0.0,,0.9597289319820256
214,1,1,1.0,0.0,,0.9604334871611048
215,3,2,4.0,1.0,-0.09999999999999998,0.7617766134529383
216,1,1,1.0,0.0,,0.9600363581251269
217,1,1,1.0,0.0,,0.960233303332577
218,4,5,6.0,0.6,0.08928571428571427,0.8821775191353551
219,1,1,1.0,0.0,,0.9594039961709135
220,1,1,1.0,0.0,,0.9588182458086748
221,1,1,1.0,0.0,,0.9583339600291466
222,1,1,1.0,0.0,,0.958894035273469
223,1,3,3.0,0.0,,0.9594693839956704
224,1,1,1.0,0.0,,0.9578628599431342
225,1,2,2.0,0.0,,0.9592250119252962
226,1,1,1.0,0.0,,0.9590136854605412
227,1,3,3.0,0.0,,0.960230132114479
228,1,1,1.0,0.0,,0.9593493030780699
229,1,2,2.0,0.0,,0.9595454808545538
230,1,1,1.0,0.0,,0.958894035273469
231,1,1,1.0,0.0,,0.9592677066644305
232,1,1,1.0,0.0,,0.960178814518385
233,2,1,2.0,0.0,,0.0
234,1,3,3.0,0.0,,0.9591159293263921
235,1,1,1.0,0.0,,0.9576225319576723
236,1,1,1.0,0.0,,0.9600950684597029
237,1,6,6.0,0.0,,0.9593628220162951
238,1,3,3.0,0.0,,0.9576259903881639
239,1,1,1.0,0.0,,0.9605881221792242
240,1,2,2.0,0.0,,0.9604306052470956
241,1,1,1.0,0.0,,0.9583082729662966
242,1,1,1.0,0.0,,0.9602095346412213
243,1,1,1.0,0.0,,0.9590075167261669
244,1,1,1.0,0.0,,0.9584341681071161
245,1,1,1.0,0.0,,0.9597506160564873
246,1,1,1.0,0.0,,0.9602835855258597
247,1,1,1.0,0.0,,0.9601651079471113
248,1,1,1.0,0.0,,0.95811291603796
249,1,2,2.0,0.0,,0.9599201752349452
250,1,1,1.0,0.0,,0.9604995344666872
251,1,1,1.0,0.0,,0.9595726784481179
252,1,1,1.0,0.0,,0.9601799979928116
253,1,3,3.0,0.0,,0.9595241297264154
254,1,1,1.0,0.0,,0.9593283213077831
255,2,2,2.0,0.0,,0.0
256,3,3,3.0,1.0,,0.0
257,2,1,2.0,0.0,,0.9595638079464498
258,1,1,1.0,0.0,,0.9576225319576723
259,1,1,1.0,0.0,,0.9578827346187468
260,1,1,1.0,0.0,,0.9598537579429555
261,2,2,2.0,0.0,,0.9599612064903701
262,1,1,1.0,0.0,,0.9582410618889238
263,1,1,1.0,0.0,,0.9582350131729326
264,1,1,1.0,0.0,,0.9603101982894585
265,2,2,2.0,0.0,,0.9603254043354448
266,1,1,1.0,0.0,,0.9592610889897744
267,1,2,2.0,0.0,,0.9598123577859182
268,1,3,3.0,0.0,,0.9595720513129918
269,1,1,1.0,0.0,,0.9587727908787033
270,1,1,1.0,0.0,,0.9588817834716545
271,1,2,2.0,0.0,,0.9595432540555743
272,1,1,1.0,0.0,,0.9586307226042158
273,1,1,1.0,0.0,,0.9594039961709135
274,1,1,1.0,0.0,,0.9597324694024058
275,1,1,1.0,0.0,,0.9578286112084846
276,1,1,1.0,0.0,,0.9586544128134629
277,1,1,1.0,0.0,,0.9575377415860624
278,1,1,1.0,0.0,,0.9592112944067511
279,1,1,1.0,0.0,,0.9584341681071161
280,2,2,2.0,0.0,,0.0
281,1,1,1.0,0.0,,0.9575978837579876
282,1,1,1.0,0.0,,0.9599830563461333
283,3,6,6.0,1.0,,0.0
284,2,2,2.0,0.0,,0.0
285,1,1,1.0,0.0,,0.9595169362097081
286,2,5,5.0,0.0,,0.9586689513112965
287,1,1,1.0,0.0,,0.9582469967985392
288,1,1,1.0,0.0,,0.9590484959333467
289,1,1,1.0,0.0,,0.9594427377687667
290,1,1,1.0,0.0,,0.9600306092955286
291,1,1,1.0,0.0,,0.9592610889897744
292,1,1,1.0,0.0,,0.9605169511387134
293,2,2,2.0,0.0,,0.9594039961709135
294,1,1,1.0,0.0,,0.959075150046445
