Unnamed: 0,vertex_id,vertex_name,type,movie_str_url
258,258,365 Days,movie,365+Days
259,259,Eraserhead,movie,Eraserhead
260,260,Legally Blonde,movie,Legally+Blonde
261,261,A Star Is Born,movie,A+Star+Is+Born
262,262,Were All Going to the Worlds Fair,movie,Were+All+Going+to+the+Worlds+Fair
263,263,Hot Fuzz,movie,Hot+Fuzz
264,264,The Invisible Man,movie,The+Invisible+Man
265,265,Kill Bill: Vol. 1,movie,Kill+Bill+Vol.+1
266,266,Blade Runner,movie,Blade+Runner
267,267,No Country for Old Men,movie,No+Country+for+Old+Men
268,268,The Hunger Games,movie,The+Hunger+Games
269,269,Titanic,movie,Titanic
270,270,The Whale,movie,The+Whale
271,271,Inception,movie,Inception
272,272,Zoolander,movie,Zoolander
273,273,Mysterious Skin,movie,Mysterious+Skin
274,274,Rocketman,movie,Rocketman
275,275,Prey,movie,Prey
276,276,The Dark Knight,movie,The+Dark+Knight
277,277,The Love Witch,movie,The+Love+Witch
278,278,Cats,movie,Cats
279,279,Star Wars,movie,Star+Wars
280,280,Fall,movie,Fall
281,281,Drive,movie,Drive
282,282,The Lobster,movie,The+Lobster
283,283,Nocturnal Animals,movie,Nocturnal+Animals
284,284,Boogie Nights,movie,Boogie+Nights
285,285,The Twilight Saga: New Moon,movie,The+Twilight+Saga+New+Moon
286,286,Another Round,movie,Another+Round
287,287,Women Talking,movie,Women+Talking
288,288,The House That Jack Built,movie,The+House+That+Jack+Built
289,289,The Great Gatsby,movie,The+Great+Gatsby
290,290,Aquaman,movie,Aquaman
291,291,Fear Street: 1994,movie,Fear+Street+1994
292,292,The Thing,movie,The+Thing
293,293,Scream 3,movie,Scream+3
294,294,Possession,movie,Possession
295,295,Carrie,movie,Carrie
296,296,The Lord of the Rings: The Fellowship of the Ring,movie,The+Lord+of+the+Rings+The+Fellowship+of+the+Ring
297,297,Eighth Grade,movie,Eighth+Grade
298,298,Run,movie,Run
299,299,Howls Moving Castle,movie,Howls+Moving+Castle
300,300,White Noise,movie,White+Noise
301,301,Shrek 2,movie,Shrek+2
302,302,Clue,movie,Clue
303,303,The Gentlemen,movie,The+Gentlemen
304,304,Black Panther: Wakanda Forever,movie,Black+Panther+Wakanda+Forever
305,305,The Shining,movie,The+Shining
306,306,Good Time,movie,Good+Time
307,307,The Irishman,movie,The+Irishman
308,308,The Shawshank Redemption,movie,The+Shawshank+Redemption
309,309,Paddington,movie,Paddington
310,310,Enola Holmes,movie,Enola+Holmes
311,311,Once Upon a Time?  in Hollywood,movie,Once+Upon+a+Time?+in+Hollywood
312,312,Eyes Wide Shut,movie,Eyes+Wide+Shut
313,313,All Too Well: The Short Film,movie,All+Too+Well+The+Short+Film
314,314,Over the Garden Wall,movie,Over+the+Garden+Wall
315,315,Fear Street: 1666,movie,Fear+Street+1666
316,316,After Yang,movie,After+Yang
317,317,Enter the Void,movie,Enter+the+Void
318,318,Werewolf by Night,movie,Werewolf+by+Night
319,319,AmÃÂ©lie,movie,Amelie
320,320,Baby Driver,movie,Baby+Driver
321,321,Dunkirk,movie,Dunkirk
322,322,Under the Skin,movie,Under+the+Skin
323,323,Return of the Jedi,movie,Return+of+the+Jedi
324,324,Red Notice,movie,Red+Notice
325,325,The Fly,movie,The+Fly
326,326,Coco,movie,Coco
327,327,The Blair Witch Project,movie,The+Blair+Witch+Project
328,328,Heathers,movie,Heathers
329,329,Oceans Eleven,movie,Oceans+Eleven
330,330,Marriage Story,movie,Marriage+Story
331,331,Disenchanted,movie,Disenchanted
332,332,Enemy,movie,Enemy
333,333,Tag,movie,Tag
334,334,The Holiday,movie,The+Holiday
335,335,The Adam Project,movie,The+Adam+Project
336,336,Cruella,movie,Cruella
337,337,The Darjeeling Limited,movie,The+Darjeeling+Limited
338,338,A Ghost Story,movie,A+Ghost+Story
339,339,Texas Chainsaw Massacre,movie,Texas+Chainsaw+Massacre
340,340,The Lord of the Rings: The Return of the King,movie,The+Lord+of+the+Rings+The+Return+of+the+King
341,341,Room,movie,Room
342,342,The Devil All the Time,movie,The+Devil+All+the+Time
343,343,Kikis Delivery Service,movie,Kikis+Delivery+Service
344,344,Whisper of the Heart,movie,Whisper+of+the+Heart
345,345,The Unbearable Weight of Massive Talent,movie,The+Unbearable+Weight+of+Massive+Talent
346,346,Annette,movie,Annette
347,347,Jurassic Park,movie,Jurassic+Park
348,348,Oceans Eight,movie,Oceans+Eight
349,349,Judas and the Black Messiah,movie,Judas+and+the+Black+Messiah
350,350,Sorry to Bother You,movie,Sorry+to+Bother+You
351,351,mother!,movie,mother!
352,352,Spirited Away,movie,Spirited+Away
353,353,Nomadland,movie,Nomadland
354,354,Dogtooth,movie,Dogtooth
355,355,Blue Valentine,movie,Blue+Valentine
356,356,A Clockwork Orange,movie,A+Clockwork+Orange
357,357,Shaun the Sheep Movie,movie,Shaun+the+Sheep+Movie
358,358,2001: A Space Odyssey,movie,2001+A+Space+Odyssey
359,359,The Prestige,movie,The+Prestige
360,360,Captain Marvel,movie,Captain+Marvel
361,361,The Breakfast Club,movie,The+Breakfast+Club
362,362,Uncharted,movie,Uncharted
363,363,The Farewell,movie,The+Farewell
364,364,The Platform,movie,The+Platform
365,365,Stand by Me,movie,Stand+by+Me
366,366,Lamb,movie,Lamb
367,367,It,movie,It
368,368,Im Thinking of Ending Things,movie,Im+Thinking+of+Ending+Things
369,369,Saw,movie,Saw
370,370,Disobedience,movie,Disobedience
371,371,Velvet Buzzsaw,movie,Velvet+Buzzsaw
372,372,Ferris Buellers Day Off,movie,Ferris+Buellers+Day+Off
373,373,"Synecdoche, New York",movie,Synecdoche+New+York
374,374,When Marnie Was There,movie,When+Marnie+Was+There
375,375,The Conjuring: The Devil Made Me Do It,movie,The+Conjuring+The+Devil+Made+Me+Do+It
376,376,Mank,movie,Mank
377,377,Crash,movie,Crash
378,378,The Godfather: Part II,movie,The+Godfather+Part+II
379,379,Your Name.,movie,Your+Name.
380,380,Come and See,movie,Come+and+See
381,381,The Silence of the Lambs,movie,The+Silence+of+the+Lambs
382,382,Perfect Blue,movie,Perfect+Blue
383,383,Death on the Nile,movie,Death+on+the+Nile
384,384,Mommy,movie,Mommy
385,385,Infinity Pool,movie,Infinity+Pool
386,386,Red Rocket,movie,Red+Rocket
